"","d_r","rec_type","id","sex","age","race","Cons","Empower","NACH","LOC","teamwork","g","perf_fnl"
"34","","SCALE1","287807",2,29,1,4.16666666666667,3.42857142857143,2.7,2.88888888888889,3.33333333333333,8,5.22222222222222
"35","","SCALE1","287686",1,35,1,4,4.28571428571429,3.6,3,3.44444444444444,6.5,5.22222222222222
"36","","SCALE1","220382",1,50,2,4.5,4,2.9,3.55555555555556,3.77777777777778,4.5,5.22222222222222
"37","","SCALE1","296721",1,32,2,4.66666666666667,3.85714285714286,2.7,3.33333333333333,3.66666666666667,5,5.25
"38","","SCALE1","286767",1,32,1,3.66666666666667,3.57142857142857,2.8,3.55555555555556,3.66666666666667,6.5,5.25
"39","","SCALE1","286348",1,50,1,3.66666666666667,3.42857142857143,2.6,2.55555555555556,3.33333333333333,1.5,5.28571428571429
"40","","SCALE1","144540",1,0,2,3.66666666666667,3.85714285714286,2.4,3.55555555555556,3.88888888888889,6,5.3125
"41","","SCALE1","295726",1,31,1,4.16666666666667,3.85714285714286,2.6,3,4.11111111111111,8,5.33333333333333
"42","","SCALE1","302726",1,23,1,4,4,2.6,3.11111111111111,3.66666666666667,7.5,5.33333333333333
"43","","SCALE1","268789",1,29,1,4.16666666666667,4,3,3.44444444444444,3.66666666666667,7,5.375
"44","","SCALE1","299582",1,40,1,4.83333333333333,3.85714285714286,2.9,3.33333333333333,4.11111111111111,5,5.44444444444444
"45","","SCALE1","288580",1,41,1,4.66666666666667,4.57142857142857,2.5,3.77777777777778,4.11111111111111,3.5,5.44444444444444
"46","","SCALE1","277768",1,27,1,4,3.71428571428571,3.2,2.77777777777778,3.44444444444444,8,5.5
"47","","SCALE1","295487",1,30,1,4.33333333333333,4,3.2,2.88888888888889,3.77777777777778,4.5,5.5
"48","","SCALE1","277569",1,42,1,4.16666666666667,3.85714285714286,2.4,2.88888888888889,3.88888888888889,7,5.5
"49","","SCALE1","273589",1,38,1,4,3.57142857142857,2.8,3.11111111111111,3.77777777777778,3.5,5.5
"50","","SCALE1","273860",1,26,1,4.33333333333333,3.28571428571429,2.2,3.44444444444444,3.44444444444444,4.5,5.5
"51","","SCALE1","294563",1,40,1,3.83333333333333,4,2.9,3.44444444444444,3.77777777777778,7,5.5
"52","","SCALE1","407062",2,24,1,4.33333333333333,3.42857142857143,1.8,3.66666666666667,4.11111111111111,7.5,5.5
"53","","SCALE1","298661",1,36,1,3.66666666666667,3.28571428571429,2.9,2.66666666666667,3.22222222222222,6,5.625
"54","","SCALE1","284522",1,29,2,3.5,4.42857142857143,2,3.33333333333333,3.44444444444444,3.5,5.625
"55","","SCALE1","297741",1,25,1,3.5,3.57142857142857,3,3.33333333333333,3.22222222222222,8.5,5.625
"56","","SCALE1","296706",1,26,1,4.33333333333333,3.57142857142857,3.4,3.22222222222222,4.33333333333333,8.5,5.66666666666667
"57","","SCALE1","282808",1,28,1,4,3.85714285714286,2.8,3.55555555555556,3.88888888888889,7,5.66666666666667
"58","","SCALE1","292626",1,36,1,4.33333333333333,4.14285714285714,2.6,3.88888888888889,3.77777777777778,7.5,5.71428571428571
"59","","SCALE1","301689",2,23,1,4,3.85714285714286,2.8,3,3.22222222222222,8,5.75
